id,scope_type,scope_slug,scope_name,page_id,event_date,event_year,event_title,event_summary,actors,tags,places,organizations,importance
561,topic,marshall-mediation,马歇尔调处与民盟,784,1948-10-29,1948,CIA Reading Room cia-rdp78-01617a002100030001-4: WEEKLY SUMMARY NUMBER 24,**-13-** **机密** **解密并批准发布 2013/04/10 : CIA-RDP78-01617A002100030001-4** **机密** **中国** 中共继续计划为全中国建立一个联合政府。 中共提出的“召开新的政治协商会议以制定联合政府计划”的倡议，已吸引了在香港的反国民党中国国民党革命委员会（民革）的一个代表团，并且可能在中共控制下组建一支民革军队，以促进国民党军队的更多倒戈。,蒋介石,政协; 马歇尔调处; 联合政府; 民盟,香港; 沈阳; 满洲; 天津,中国民主同盟; 国民政府; 国民党; 中国共产党; 政治协商会议; 美国国务院,55
562,topic,marshall-mediation,马歇尔调处与民盟,785,1948-11-19,1948,昆明暗杀事件引发的政治压力与外交关注,在所有有组织的国民党抵抗停止后，内战结束的标志很可能是组建一个包括现国民政府重要成员在内的新联合政府。 这样的联合政府有可能在“反帝国主义”这一核心议题上寻求团结，但也有可能避免与美国对抗。,蒋介石,昆明暗杀; 马歇尔调处; 联合政府; 民盟,香港; 满洲,中国民主同盟; 国民政府; 国民党; 中国共产党; 美国国务院,55
563,topic,marshall-mediation,马歇尔调处与民盟,872,1948-12-02,1948,第三方面在国共之间寻求政治空间,拉铁摩尔先生预测中国将成立联合政府。 将美国在华行动与日本以往在华军事记录相提并论，中国民主同盟昨日警告美国人民注意其政府行为可能带来的后果。,马歇尔; 蒋介石,马歇尔调处; 第三方面; 联合政府; 民盟,南京; 上海,中国民主同盟; 国民政府; 国民党; 中国共产党; 美国驻上海总领事馆,40
564,topic,marshall-mediation,马歇尔调处与民盟,787,1948-12-10,1948,北平接触与民盟人士沟通,这个政府可能会被宣称为“联合政府”，并将吸纳许多非中共人士，包括现任国民政府中的成员。 作为“联合政府”，其优势在于未必会丧失国际承认。,,马歇尔调处; 北平接触; 联合政府; 民盟,北平; 南京; 沈阳; 满洲; 天津,中国民主同盟; 国民政府; 国民党; 中国共产党; 美国国务院,55
565,topic,marshall-mediation,马歇尔调处与民盟,873,1949-01-12,1949,China Mail 1949-01-12 · 联合政府讨论,天津，1月11日。 今日，随着四人和平代表团在与城外中共方面进行初步会晤后满意而归，民众免受内战进一步蹂躏的希望骤然高涨。 代表团成员——均为市参议员——进入中共控制区后，于今晨携条件返回，并带回中共方面关于停止炮击的承诺。 和平特使称，中共方面对参议员们为天津民众利益所作的努力表示赞赏。 中共方面批准了天津人民关于和平的要求，并表示无意摧毁天津。声明续称，中共方面表达了进行和谈的意愿，并请参议员们为此继续努力。 作为对和平要求的回应，声明续称，中共方面初步同意自1月10日下午6时起停火24小时。 代表们乘坐由天…,蒋介石,马歇尔调处; 联合政府,香港; 天津; 华盛顿,国民政府; 中国共产党; 行政院,25
566,topic,marshall-mediation,马歇尔调处与民盟,874,1949-01-17,1949,北平接触与民盟人士沟通,**华北和平促进会** 与此同时，在加强城墙内外防御的同时，据报道，各公共团体已自行组织成“华北人民和平促进会”，并邀请知名社会领袖及自由派人士，包括被取缔的中国民主同盟成员及各大院校校长，组成一个委员会，向共产党当局请求在华北立即停火。 ——路透社 **共产党于周六获得面粉和小麦供应** 这可能意味着在共产党威胁下的北平，粮食配给制的崩溃，除非能迅速组织起陆路供应系统，美国经济合作署中国项目主任哈兰·克利夫兰先生表示。,张君劢; 蒋介石,马歇尔调处; 北平接触; 联合政府; 民盟,北平; 香港; 天津; 华盛顿,中国民主同盟; 国民党; 中国共产党; 青年党; 民主社会党,55
567,topic,marshall-mediation,马歇尔调处与民盟,671,1949-02-03,1949,Memorandum of Conversation between Anastas Mikoyan and Mao Zedong,**档案来源：** **国际史解密档案** **日期：** 1949年2月3日 **阿纳斯塔斯·米高扬与毛泽东会谈纪要** **引文：** 『阿纳斯塔斯·米高扬与毛泽东会谈纪要』，1949年2月3日，历史与公共政策项目数字档案，俄罗斯联邦总统档案馆（APRF）：全宗39，目录1，案卷39，第47-53页。重印于安德烈·列多夫斯基、赖莎·米罗维茨卡娅和弗拉基米尔·米亚斯尼科夫编，《苏中关系》，第5卷，第2册，1946年-1950年2月（莫斯科：历史文献出版社，2005年），第62-66页。谢尔盖·拉琴科英译。 **…,,,,国民党; 中国共产党,25
568,topic,marshall-mediation,马歇尔调处与民盟,672,1949-02-03,1949,Memorandum of Conversation between Anastas Mikoyan and Mao Zedong,**关于国民党与中共谈判中的外国调停问题** 1949年2月3日晚，与毛泽东举行了又一次会谈。参加会谈的有中共中央政治局成员周恩来、刘少奇、任弼时和朱德，以及翻译师哲。我方出席的有伊·瓦·科瓦廖夫和[苏联中国问题专家]叶·弗·科瓦廖夫。 相互问候之后，会谈开始，我首先指出，我们获悉英国、美国和法国主张由它们承担起调停国民党与中共的职能。后来，这些大国不知通过何种途径了解到苏联和中共反对外国调停，它们不愿自取其辱，便改变了立场，拒绝了调停。因此，有必要认真对待泄密问题，并关注中共周围是否存在饶舌之人，通过这些渠道，…,周恩来,,香港,国民党; 中国共产党,25
569,topic,marshall-mediation,马歇尔调处与民盟,735,1949-04-13,1949,北平接触与民盟人士沟通,毛泽东同志说，我们视此提议为一种企图，并非为了援助中国人民，而是为了挽救美国资本主义于危机（依据马歇尔计划），并试图将中国人民置于枷锁之下，如同他们在蒋介石政权下所做的那样。 一些将领，例如白崇禧，他掌握着32个师的兵力，已经与我们建立了联系，以便像北平（北京）的傅作义将军那样，通过和平方式解决问题。,马歇尔; 蒋介石,马歇尔调处; 北平接触,北平; 南京; 上海,国民党; 中国共产党,40
570,topic,marshall-mediation,马歇尔调处与民盟,766,1949-06-30,1949,北平接触与民盟人士沟通,# 1949 讲话/文件 **标题：论人民民主专政** **作者：毛泽东** **日期：** 1949年6月30日 **来源：** 7月1日北平电台广播。,,马歇尔调处; 北平接触,北平,国民党; 中国共产党,40
571,topic,marshall-mediation,马歇尔调处与民盟,655,1949-07-07,1949,北平接触与民盟人士沟通,该同盟在重庆、南京、上海、北平以及海外设有支部，约有200名成员。 1945年，在我党提出建立联合政府的口号以及国民党第六次全国代表大会召开后，该联合会正式公开。,罗隆基; 张澜; 黄炎培; 章伯钧; 张东荪; 蒋介石,政协; 马歇尔调处; 北平接触; 联合政府; 民盟,北平; 南京; 重庆; 上海; 香港,中国民主同盟; 国民党; 中国共产党; 政治协商会议,85
572,topic,marshall-mediation,马歇尔调处与民盟,715,1949-07-18,1949,Liu Shaoqi about his meeting with Stalin,马歇尔计划已经破产。,马歇尔,马歇尔调处,,,25
573,topic,marshall-mediation,马歇尔调处与民盟,800,1950-01-05,1950,北平接触与民盟人士沟通,除中国民主建国会外，中共政府中的主要非中共政党为中国民主同盟、中国国民党革命委员会、全国各界救国联合会及中国致公党。 中国民主同盟在张澜领导下，现已成为中国共产党渗透的首要目标。,张澜,马歇尔调处; 北平接触; 联合政府; 民盟,北平,中国民主同盟; 国民党; 中国共产党,65
574,topic,marshall-mediation,马歇尔调处与民盟,885,1950-09-12,1950,第三方面在国共之间寻求政治空间,马利克先生说，这…… （注：原文包含大量与主题无关的碎片化信息，如关于南非史末资将军的冗长生平、萧伯纳手术、德国问题、希腊联合政府等，以及明显的OCR噪声和排版混乱。 根据任务要求，已忽略报纸版头、广告、栏目标识及无实质新闻意义的残缺字符块，仅提取并翻译了与“中国政情”及“中国民主同盟”可能相关的核心新闻片段。,周恩来,马歇尔调处; 第三方面; 联合政府; 民盟,北平; 香港; 满洲,中国民主同盟; 中国共产党; 美国国务院,20
575,topic,marshall-mediation,马歇尔调处与民盟,811,1952-02-19,1952,CIA Reading Room cia-rdp80-00809a000700040409-2: ACTIVITIES OF SHENSI PEOPLE'S GOVERNMENT IN 1950,年轻人和老年人都参与土改，包括无党派人士，以及中国共产党、青年团、中国民主同盟、中国国民党革命委员会、中国民主建国会等组织的成员。,,马歇尔调处; 民盟,延安,中国民主同盟; 国民党; 中国共产党,40
576,topic,marshall-mediation,马歇尔调处与民盟,814,1952-09-07,1952,北平接触与民盟人士沟通,据报中国在莫斯科会谈中的目标：** 据中国民主同盟一位成员透露，中国在莫斯科会议上将要求大规模军事和经济援助，包括一项长期贷款和额外的航运能力。 **评论：** 中国民主同盟是一个无实权的非中共政党，受北京政权容忍。,,马歇尔调处; 北平接触; 民盟,北平,中国民主同盟; 中国共产党,55
577,topic,marshall-mediation,马歇尔调处与民盟,474,1953-09-14,1953,北平接触与民盟人士沟通,中国主要城市食品工业初步调查结果** | 工业 | 项目 | 上海 | 南京 | 北平 | 天津 | 青岛 | 重庆 | 沈阳 | 西安 | 汉口 | 广州 | 台湾 | 兰州 | 汕头 | 福州 | 昆明 | 贵阳 | 衡阳 | 晋江 | | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--…,,马歇尔调处; 北平接触,昆明; 北平; 南京; 重庆; 上海; 沈阳; 天津,,40
578,topic,marshall-mediation,马歇尔调处与民盟,816,1953-10-20,1953,CIA Reading Room cia-rdp80s01540r003200080003-1: TRANSLATIONS OF NORTH KOREAN NEWSPAPERS,胜利一定属于我们！ 中国人民政治协商会议全国委员会 中国共产党 中国国民党革命委员会 中国民主同盟 民主建国会 无党派民主人士 中国民主促进会 中国农工民主党 中国致公党 九三学社 台湾民主自治同盟 中国新民主主义青年团 1952年3月8日 **粉碎资本家的侵略！（口号）** （照片）1952年2月9日，检查委员会主任薄一波在反贪污、反浪费、反官僚主义大会上讲话。,周恩来; 蒋介石,政协; 马歇尔调处; 民盟,北平; 华盛顿,中国民主同盟; 国民党; 中国共产党; 青年党; 政治协商会议; 美国国务院,55
579,topic,marshall-mediation,马歇尔调处与民盟,437,1954-09-16,1954,ROSTER OF PRESIDIUM OF FIRST CONGRESS,**档案编号：** AAA 16-22 **国家/主题：** 中国：共产主义 **日期：** 1954年9月16日 **第一届全国人民代表大会第一次会议主席团名单** 北京，中国国内广播，普通话，1954年9月15日，格林威治时间15时10分——（文字稿） （正文） 北京——以下是中华人民共和国第一届全国人民代表大会第一次会议主席团名单：（主席团由……人组成，名单按姓氏笔画顺序排列——北京） 毛泽东、王宗伦、司徒美堂、朱德、朱德海、何香凝、吴玉章、吴耀宗、宋庆龄、李四光、李先念、李顺达、李德全、李济深、李烛尘、沈…,张澜; 沈钧儒; 黄炎培; 章伯钧; 周恩来; 蒋介石,政协; 马歇尔调处,北平; 上海,国民党; 中国共产党; 政治协商会议; 美国国务院; 国民大会,70
580,topic,marshall-mediation,马歇尔调处与民盟,820,1957-12-10,1957,"CIA Reading Room cia-rdp78-00915r000700150013-4: Afro-Asian Solidarity Conference, Cairo 26 December 1957 - 1 January 1958",出席设立常设委员会会议的有周恩来、副主席以及政协第二届全体会议的代表，总计超过一千人。,周恩来; 蒋介石,政协; 马歇尔调处; 民盟,北平; 华盛顿,中国民主同盟; 中国共产党; 政治协商会议; 美国国务院,55
581,topic,marshall-mediation,马歇尔调处与民盟,822,1960-04-30,未注明,北平接触与民盟人士沟通,# 中央情报局情报简报 **日期：** 1960年4月30日 机密 ## 一、共产党集团 苏联可能在首脑会议前再次尝试发射航天器；下一次与月球相关的发射最佳窗口期为5月7日至14日。 周恩来访问尼泊尔期间，竭力扩大北京在尼泊尔的影响力，并试图使印度在边界问题上显得态度强硬。 ## 二、亚洲-非洲 **韩国**——代行国家元首职务者表示，将在全面改革警察体制及实现对日关系正常化方面严重依赖美国支持。 **土耳其**——学生骚乱蔓延；曼德列斯总理要求严惩煽动者。 **印度尼西亚**——军方鼓励反苏加诺政治活动，促使代…,周恩来,马歇尔调处; 北平接触; 民盟,北平,中国民主同盟; 中国共产党; 美国国务院,55
582,topic,marshall-mediation,马歇尔调处与民盟,825,1964-02-28,未注明,"CIA Reading Room cia-rdp80t00246a072100330001-4: SOCIOLOGICAL, POLITICAL, AND MILITARY INFORMATION ON NORTH KOREA",--- **中央情报局** 本材料包含涉及美国国防的信息，其含义见《间谍法》第18编美国法典第793条和第794条。任何未经授权之人以任何方式传输或泄露均被法律禁止。 **机密 - 不得向外国传播** **国家：** 北朝鲜 50X1-HUM **主题：** 关于北朝鲜的社会学、政治和军事情报 **分发日期：** 1963年2月25日 **页数：** 2 **参考编号：** RD 50X1-HUM **情报日期：** **获取地点与日期：** **本报告为未经评估的情报。来源评级是确定的。内容评估是暂定的。**…,周恩来; 蒋介石,马歇尔调处,,中国共产党; 美国国务院,25
583,topic,marshall-mediation,马歇尔调处与民盟,826,1976-12-01,未注明,昆明暗杀事件引发的政治压力与外交关注,**机密** （安全等级） **国家情报每日电讯** 1976年12月1日，星期三 CI NIDC 76-280C **国家安全信息** **未经授权披露将受刑事制裁** **目录** **中国：政府职位** 第1页 **联合国：秘书长选举** 第2页 **苏美关系：勃列日涅夫就两国关系发表讲话** 第3页 **欧洲与日本：计算机市场** 第5页 **西德：核能争端** 第6页 **波斯湾国家：外长会议** 第7页 **纳米比亚：制宪会议** 第9页 **孟加拉国：齐亚接管政权** 第10页 **印度：又一个丰收…,周恩来; 蒋介石,昆明暗杀; 马歇尔调处,北平; 华盛顿,中国共产党,40
584,topic,marshall-mediation,马歇尔调处与民盟,827,1982-04-01,未注明,昆明暗杀事件引发的政治压力与外交关注,这份文件并非您所描述的“1940s-1950s 美方一手档案”，也不涉及“中国民主同盟相关史料”。 如果您有符合要求的原始CIA解密档案（例如关于中国民主同盟在1940-1950年代活动的报告），请提供该文本，我将很乐意协助您完成翻译。,马歇尔; 蒋介石,昆明暗杀; 政协; 马歇尔调处; 联合政府; 民盟,北平; 香港; 沈阳; 成都; 华盛顿,中国民主同盟; 国民政府; 国民党; 中国共产党; 民主社会党; 政治协商会议; 美国国务院; 国民大会,55
585,topic,marshall-mediation,马歇尔调处与民盟,828,2018-09-11,未注明,昆明暗杀事件引发的政治压力与外交关注,**中国：对中国民主同盟领导人的袭击**——美国驻昆明领事馆获得可靠情报称，7月15日一名中国民主同盟（民盟）知名成员遭暗杀、其子受重伤的事件，是反动秘密警察计划在昆明刺杀民盟高级成员的总阴谋的一部分。 ）民盟领导人正呼吁成立一个包括马歇尔将军代表在内的委员会进行调查。,马歇尔,昆明暗杀; 马歇尔调处; 民盟,昆明,中国民主同盟; 中国共产党,55
586,topic,marshall-mediation,马歇尔调处与民盟,143,22 July 1946,1946,昆明暗杀事件引发的政治压力与外交关注,893/7-2246：电报〔文件698〕马歇尔将军致杜鲁门总统。 我也不同意他认为全部责任都在共产党一方的看法，并且我着重谈到昆明和平的民盟教授遭暗杀一事对世界舆论的影响；尤其是有关一个恐怖恐吓自由派人士的组织的传闻，直接指向一位最显著的国民党领导人。,周恩来; 马歇尔; 司徒雷登; 蒋介石,昆明暗杀; 马歇尔调处; 民盟,昆明; 南京; 牯岭,中国民主同盟; 国民党; 中国共产党; 行政院,70
587,topic,marshall-mediation,马歇尔调处与民盟,329,29 July 1947,1947,Memorandum by Mr. Philip D. Sprouse to General Wedemeyer,以下为今天上午民盟代表（罗隆基、张东荪、黄炎培、章伯钧）结束与阁下会谈后向我表达意见的摘要： 中国唯一的解决办法是实现和平并组成联合政府。 在这种条件下，中国共产党会同意参加联合政府，可能按国民党、共产党、其他少数党派及无党派团体三方各占三分之一的方式组成。,罗隆基; 黄炎培; 章伯钧; 张东荪; 蒋介石,马歇尔调处; 联合政府; 民盟,上海; 满洲,中国民主同盟; 国民党; 中国共产党,45
588,topic,marshall-mediation,马歇尔调处与民盟,58,31 January 1946,1946,围绕政协决议和政府改组的调处,马歇尔使团档案，第54-D270卷：电报〔文件41〕 马歇尔将军致杜鲁门总统 重庆，1946年1月31日。 周将军说，共产党中央执行委员会确认了他在政协中的谈判；他们认为政府扩大本来还可以走得更远，但总体上对各项协议感到满意，因为这些协议打开了中国民主化的大门。,周恩来; 马歇尔; 蒋介石,政协; 马歇尔调处; 民盟,重庆; 延安,中国民主同盟; 国民政府; 国民党; 中国共产党; 青年党; 政治协商会议; 行政院; 国民大会,70
589,topic,marshall-mediation,马歇尔调处与民盟,59,31 January 1946,1946,围绕政协决议和政府改组的调处,周将军离开后，政府方面的军事代表要求我就军队国家化问题举行最后一次会议。委员长最后的迟疑已经消除，并同意采取以下程序：我已告诉周将军，政府方面已向我说明其提案的大体条件，而我也有自己的看法。如果政治协商会议的事务允许，他计划明天同我讨论此事。随后，我将把他的同意点、反对意见和建议向政府代表概述，并视情况决定我的方案应作何种修改。然后将安排一次正式会议，由两名中国委员交换意见。第一次会议后，我将按需要对方案作出修改，并在第二次会议前把方案送交委员会中的政府代表和共产党代表。届时谈判将全面展开，但将以我的书面文本作为…,周恩来; 马歇尔; 蒋介石,政协; 马歇尔调处,重庆,中国共产党; 政治协商会议; 美国国务院,60
590,topic,marshall-mediation,马歇尔调处与民盟,77,4 May 1946,1946,Memorandum by General Chou En-lai to General Marshall,马歇尔使团文件，编号 Lot 54–D270 [文件第432号] 周恩来将军致马歇尔将军备忘录 南京，1946年5月4日 亲爱的马歇尔将军： 政府拒绝了中国民主同盟和中国共产党关于在东北立即停战的各项提议，并声明在政府军占领长春之前，政府将不就其他任何问题进行协商，这暴露了政府意图进一步扩大东北武装冲突的用心。,周恩来; 马歇尔,马歇尔调处; 民盟,南京; 延安; 满洲,中国民主同盟; 中国共产党,35
591,topic,marshall-mediation,马歇尔调处与民盟,103,5 June 1946,1946,北平接触与民盟人士沟通,马歇尔使团文件，Lot 54–D270：电报 [文件507] 马歇尔将军致杜鲁门总统 95 南京，1946年6月5日。 [此处引文内容见马歇尔将军5月29日致宋子文博士备忘录，刊于第912页 [第912页包含文件487、文件488和文件489的部分内容]。,马歇尔; 蒋介石,马歇尔调处; 北平接触,北平; 南京; 沈阳; 满洲,中国共产党,35
592,topic,marshall-mediation,马歇尔调处与民盟,104,5 June 1946,1946,General Marshall to President Truman,此外，还与宋子文博士、中国民主同盟代表、青年党代表、国民大会五百名代表组成的委员会以及其他各方举行了长时间会议。,周恩来; 马歇尔; 蒋介石,马歇尔调处; 民盟,延安; 满洲,中国民主同盟; 中国共产党; 青年党; 国民大会,40
593,topic,marshall-mediation,马歇尔调处与民盟,105,5 June 1946,1946,General Marshall to President Truman,今天下午早些时候，我将就延长至十五天一事面见委员长。上述情况主要涉及以下因素：委员长长期缺席，使中共领导人对我态度的公正性产生严重怀疑，加之美国支持政府军等活跃宣传，更助长了这种疑虑。委员长同时坚持，在国共代表意见分歧时，美方军官应拥有最终裁决权，这进一步加深了中共的猜疑，也使我处境微妙。我认为自己能够克服这些困难。供你参考，但希望不要作为新闻稿发布：我方海军舰艇或其他悬挂美国国旗的船只已不再参与运输中国政府军或军用物资，此项工作现由悬挂特别旗帜、配备中国船员的自由轮负责（直至出售谈判完成），以及正在移交中国海军…,周恩来; 马歇尔; 蒋介石,马歇尔调处,延安,中国共产党; 美国国务院,25
594,topic,marshall-mediation,马歇尔调处与民盟,236,8 November 1946,1946,围绕政协决议和政府改组的调处,马歇尔使团档案，第54-D270卷〔文件251〕 马歇尔将军和司徒雷登大使为蒋介石委员长起草的第二份声明稿 〔南京，〕1946年11月8日。 然而，共产党和民主同盟拒绝提交其代表名单。,马歇尔; 司徒雷登; 蒋介石,政协; 马歇尔调处; 民盟,南京; 满洲,中国民主同盟; 国民政府; 中国共产党; 政治协商会议; 国民大会,70
595,topic,marshall-mediation,马歇尔调处与民盟,237,8 November 1946,1946,围绕政协决议和政府改组的调处,马歇尔使团文件，编号 Lot 54–D270 [文件第252号] 马歇尔将军关于与蒋介石委员长数次会谈的备忘录 [南京，]1946年11月8日。 委员长询问我的看法，我详细描述了前一天上午我与三位中国民主同盟主要领导人的会面情况，[75] 他们正就次日三方（政府、共产党和第三方面）举行非正式会议进行一般性讨论一事向我征求意见。,周恩来; 马歇尔; 司徒雷登; 蒋介石,政协; 马歇尔调处; 第三方面; 民盟,南京,中国民主同盟; 国民党; 中国共产党; 政治协商会议; 国民大会,70
596,topic,marshall-mediation,马歇尔调处与民盟,196,8 October 1946,1946,围绕政协决议和政府改组的调处,马歇尔使团档案，Lot 54-D270〔文件166〕马歇尔将军和司徒雷登大使公开声明。 10月1日上午，马歇尔将军经共产党代表王炳南先生之手，收到周恩来将军9月30日自上海发来的一份备忘录。,周恩来; 马歇尔; 司徒雷登; 蒋介石,政协; 马歇尔调处; 民盟,南京; 上海; 延安,中国民主同盟; 国民政府; 国民党; 中国共产党; 政治协商会议; 国民大会,70
597,topic,marshall-mediation,马歇尔调处与民盟,64,"April 10, 1946",1946,围绕政协决议和政府改组的调处,民盟代表已提出调停，政治协商会议中国民党和共产党全体代表将于今晚同民盟代表会面（不包括青年党和无党派团体），试图解决分歧。 中国共产党人似乎确信委员长怀有这种意图；民盟对此也只是稍微不那么确信。,马歇尔; 蒋介石,政协; 马歇尔调处; 民盟,重庆; 延安; 满洲,中国民主同盟; 国民党; 中国共产党; 青年党; 政治协商会议; 美国国务院; 美国驻华使馆,70
598,topic,marshall-mediation,马歇尔调处与民盟,65,"April 18, 1946",1946,围绕政协决议和政府改组的调处,马歇尔使团档案，第54-D270卷〔文件55〕 驻华大使馆二等秘书（卢登）致马歇尔将军备忘录 〔重庆，〕1946年4月18日。 自3月16日以来，共产党，并在稍弱程度上民主同盟，持续质疑国民党批准政治协商会议协议的有效性和诚意。,马歇尔; 蒋介石,政协; 马歇尔调处; 民盟,南京; 重庆; 延安; 满洲,中国民主同盟; 国民政府; 国民党; 中国共产党; 政治协商会议; 美国驻华使馆; 国民大会,70
599,topic,marshall-mediation,马歇尔调处与民盟,283,"April 19, 1947",1947,The Ambassador in China (Stuart) to the Secretary of State,国务委员会中为民盟和共产党保留了11个席位，以便它们愿意参加临时政府时使用。 4月17日晚，罗隆基向本馆表示，民盟此时参加政府“是不可能的”。,罗隆基; 张君劢; 马歇尔; 司徒雷登; 蒋介石,马歇尔调处; 民盟,南京; 满洲; 华盛顿,中国民主同盟; 国民政府; 国民党; 中国共产党; 青年党; 美国国务院; 行政院,65
600,topic,marshall-mediation,马歇尔调处与民盟,71,"April 20, 1946",1946,The Counselor of Embassy in China (Smyth) to the Secretary of State,其他报道事项包括：王若飞、邓发、叶挺及其他著名共产党领导人在飞机失事中遇难后收到的唁电；据称由国民党反动派在沈阳组织、反对东北调停的学生示威；关于民主同盟领导人评论的长篇报道，称东北是国内问题而非外交问题，应通过执行政协决议以政治方式解决；据报辽宁又成立若干民主政府；以及中共东北政治局发布一项指示，意在东北发动大规模生产运动。,,政协; 民盟,重庆; 延安; 沈阳; 满洲; 天津,中国民主同盟; 国民党; 中国共产党; 政治协商会议; 美国国务院; 美国驻华使馆,50
601,topic,marshall-mediation,马歇尔调处与民盟,66,"April 21, 1946",1946,围绕政协决议和政府改组的调处,马歇尔使团档案，第54-D270卷〔文件58〕 中国新闻部就中国共产党1946年4月21日声明所拟备忘录 1946年4月21日。 关于共产党指称政府违反《停止敌对行动协定》以及《军事整编和共产党部队编入国军方案》一事，马歇尔将军完全熟悉执行这些协议的一切事实，因此无需多言。,马歇尔,政协; 马歇尔调处; 民盟,,中国民主同盟; 国民政府; 国民党; 中国共产党; 青年党; 政治协商会议; 行政院; 国民大会,70
602,topic,marshall-mediation,马歇尔调处与民盟,72,"April 27, 1946",1946,"Notes of Conference Between General Marshall and General Chou En-lai at House 28, Chungking, April 27, 1946, 10:30 a.m.",马歇尔使团档案，Lot 54-D270〔文件421〕马歇尔将军与周恩来将军会谈记录，重庆28号住宅，1946年4月27日上午10时30分。 周将军表示，民盟代表提出的方案似乎比较表面；主要问题在于铁路控制。,周恩来; 马歇尔; 蒋介石,马歇尔调处; 民盟,南京; 重庆; 延安; 满洲,中国民主同盟; 国民政府; 中国共产党,55
603,topic,marshall-mediation,马歇尔调处与民盟,73,"April 27, 1946",1946,"Notes of Conference Between General Marshall and General Chou En-lai at House 28, Chungking, April 27, 1946, 10:30 a.m.",马歇尔将军问周将军，他是否认为应向蒋介石提到这一点；也就是说，政治委员会改组对任何停火协议是否重要。 周将军说，随着马歇尔将军同蒋介石讨论的发展，此事由马歇尔将军酌定。,周恩来; 马歇尔; 蒋介石,马歇尔调处,重庆; 上海; 满洲,国民政府; 中国共产党; 美国国务院,45
604,topic,marshall-mediation,马歇尔调处与民盟,74,"April 28, 1946",1946,Draft Prepared by General Marshall for the Immediate Cessation of Hostilities in Manchuria,马歇尔使团文件，编号 Lot 54–D270 [文件423] 马歇尔将军起草的关于立即停止东北敌对行动之草案 32 [重庆，1946年4月28日] 我们，三人委员会，经委员长蒋介石和毛泽东主席批准，就东北局势达成以下协议： a. 32 马歇尔将军的边注：“已提交委员长但未被接受。,周恩来; 马歇尔; 蒋介石,马歇尔调处; 民盟,重庆; 满洲,中国民主同盟; 国民政府; 中国共产党,35
605,topic,marshall-mediation,马歇尔调处与民盟,75,"April 29, 1946",1946,"Minutes of Meeting Between General Marshall and General Chou En-lai, at House 28, Chungking, April 29, 1946, 10:30 a.m.",马歇尔使团档案，Lot 54–D270 [文件第424号] 马歇尔将军与周恩来将军会谈纪要，重庆28号宅邸，1946年4月29日上午10时30分 重庆，1946年4月29日上午10时30分。 马歇尔将军首先告知周恩来将军，他将在未来数日内协助50名中共重要人员迁往南京，并提议在中共建立无线电通讯期间，可暂用美军信号通讯（使用中文密码）。,周恩来; 马歇尔; 蒋介石,马歇尔调处; 民盟,南京; 重庆; 延安; 满洲,中国民主同盟; 国民政府; 中国共产党; 美国国务院,55
606,topic,marshall-mediation,马歇尔调处与民盟,155,"August 10, 1946",1946,围绕政协决议和政府改组的调处,马歇尔使团文件，编号 Lot 54–D270 [文件第748号] 马歇尔将军、周恩来将军与司徒雷登博士会谈纪要 地点：南京宁海路5号 时间：1946年8月10日上午10时40分 周恩来将军：关于谈判事宜，昨日司徒雷登博士向我通报了当前局势。 如果委员长提出的要求——即共产党从陇海铁路以南的苏北地区、山东、山西、热河各省以及东北，加上北平-天津-山海关铁路沿线邻近区域撤出——不被共产党接受，那么战火将在整个长江以北地区燃起。,周恩来; 马歇尔; 司徒雷登; 蒋介石,政协; 马歇尔调处; 北平接触; 民盟,北平; 南京; 上海; 满洲; 天津; 牯岭,中国民主同盟; 国民政府; 国民党; 中国共产党; 政治协商会议; 国民大会,70
607,topic,marshall-mediation,马歇尔调处与民盟,156,"August 10, 1946",1946,"Minutes of Meeting Between General Marshall, General Chou En-lai, and Dr. Stuart at No. 5 Ning Hai Road, Nanking, August 10, 1946, 10:40 a.m.",马歇尔将军：看来这就是我们今天上午所能做的全部。,周恩来; 马歇尔; 司徒雷登,马歇尔调处,南京; 延安,国民党; 中国共产党,45
608,topic,marshall-mediation,马歇尔调处与民盟,157,"August 13, 1946",1946,北平接触与民盟人士沟通,南京报界对马歇尔-司徒雷登声明的初步社论评论，普遍表示希望美国不要放弃寻求和平解决中国问题的努力。 政府方面的《中央日报》把马歇尔-司徒雷登调处未能成功归因于共产党的分裂政策。,罗隆基; 马歇尔; 司徒雷登; 蒋介石,马歇尔调处; 北平接触; 民盟,北平; 南京; 牯岭,中国民主同盟; 国民党; 中国共产党; 美国国务院,80
609,topic,marshall-mediation,马歇尔调处与民盟,158,"August 16, 1946",1946,"Notes of Meeting of General Marshall With Generalissimo Chiang Kai-shek at Kuling, August 16, 1946",马歇尔使团档案，Lot 54-D270［文件22］马歇尔将军与蒋介石委员长在牯岭会谈记录，1946年8月16日。 他说，他觉得共产党现在正同苏联政府密切配合，不会认真执行任何可能达成的组织联合政府安排；即使发布正式停止敌对行动命令，政府也无法确信他们会停止战斗。,周恩来; 马歇尔; 司徒雷登; 蒋介石,马歇尔调处; 联合政府; 民盟,南京; 重庆; 满洲; 牯岭,中国民主同盟; 中国共产党,35
