id,source_id,source_name,institution,source_type,authority_level,official_url,record_or_search_url,material_types,shanghai_relevance,access_mode,rights_status,verification_note,checked_at,status
38,domestic:source:nlc_dagongbao_1947_v114,中国国家图书馆《大公报》第114卷（1931年12月）公开原刊扫描,中国国家图书馆；Wikimedia Commons公开镜像,民国报刊原刊影像／合订卷公开数字化扫描,国家图书馆馆藏标识对应的原刊扫描；具体再利用权利按原始机构和平台规则复核,https://commons.wikimedia.org/wiki/File:NLC511-012031312030001-21906_%E5%A4%A7%E5%85%AC%E5%A0%B1_%E7%AC%AC114%E5%8D%B7.pdf,https://upload.wikimedia.org/wikipedia/commons/b/b4/NLC511-012031312030001-21906_%E5%A4%A7%E5%85%AC%E5%A0%B1_%E7%AC%AC114%E5%8D%B7.pdf,"[""1931年12月《大公报》原刊版面"", ""民盟成立前历史报刊"", ""不纳入1941—1949国内民盟史证据统计""]",不适用；该卷实际为1931年12月，早于民盟成立，排除出当前国内盟史证据范围,Wikimedia Commons公开PDF；馆藏标识 NLC511-012031312030001-21906,公开扫描页面标注公版；国家图书馆数字副本具体再利用规则仍待核对,2026-07-29纠错：W2逐页报头映射确认本卷248页覆盖1931-12-01至1931-12-31；首日报头含‘中华民国二十年十二月一日’，期号4593。此前1947年判断作废。原PDF与SHA256保持不变，仅纠正元数据；本卷不得作为1947年民盟受压迫、非法化或解散证据。,2026-07-29,corrected_misdated_out_of_scope
39,domestic:source:gxmm_dagongbao_tianjin_excerpt_1947_11_06,天津版《大公报》1947年11月6日第2版《民盟宣布解散》嵌图截取,中国民主同盟广西壮族自治区委员会公开文章；原刊据文章说明来自《大公报》,同期报刊原刊影像截取／后期官方文章嵌图,可见原刊版面和目标标题，但为裁切转载图，完整页及原始馆藏元数据仍待补齐,https://www.gxmm.gov.cn/index/index/artical/id/7063,https://www.gxmm.gov.cn/Upload/img/2025-11-07/690da67967700.png,"[""天津版《大公报》1947年11月6日第2版裁切影像"", ""民盟被迫解散同期报道"", ""民盟总部公告与政府洽商经过""]",高；用于与上海版《大公报》目标报道及民盟解散公告互证,公开文章内嵌图片；直接图片 URL 可访问,公开文章图片及原报刊再利用权利待核,已从公开文章 HTML 定位并下载图片 https://www.gxmm.gov.cn/Upload/img/2025-11-07/690da67967700.png；本地副本 data/domestic/press_scans/GXMM_大公報_天津版_1947-11-06_第2版_民盟宣布解散_嵌图截取.png，1080×796 pixels，SHA256 为 4c0970c8615b3f70f986fef21f252b22157d53335335d2610dc2110ef0839103。文章图注明确标为‘天津版《大公报》1947年11月6日第2版’，图中可见《民盟宣布解散》及‘公告与政府洽商之经过’、‘通知盟员停止政治活动’、‘一律免除登记可享合法自由’等目标标题和正文。该图为裁切嵌图，不是完整报面或独立馆藏 PDF，需继续补原始馆藏页码和完整页影像。,2026-07-18,verified_entry
40,domestic:source:udndata_dagongbao_1902_1949,《大公报》（1902—1949）全文与版面数据库公开产品页,中国近代报刊资料库／大公报数据库；天津师范大学图书馆公开资源说明,近代报刊全文与高清版面数据库入口,数据库产品与馆藏范围说明；具体报面需登录或通过有权限馆藏访问,https://udndata.com/promo/tknewsc/interduce.html,https://tsg.tjnu.edu.cn/info/1115/2576.htm,"[""天津版《大公报》1902—1949"", ""上海版《大公报》1936—1949"", ""全文检索与高清版面""]",极高；可用于追查上海版1947-11-06和天津版1947-11-06完整报面、版次及全文,公开产品说明；全文/版面通常需机构或订阅权限,数据库访问与再利用规则待核,公开产品页说明该数据库收录民国时期《大公报》各版面及文字，覆盖天津版至1949-01-15、上海版至1949-12-31；天津师范大学图书馆公开说明进一步列出天津、上海、重庆、汉口、桂林及香港等版别。当前仅登记为报刊原版获取入口，未将产品说明本身当作1947年目标报道候选。,2026-07-18,verified_entry
41,domestic:source:nlc_dagongbao_shanghai_1947_11_06_p2_full,上海版《大公报》1947年11月6日第2版完整报面影像,中国国家图书馆独家授权图像；中国近代报刊资料库／大公报数据库,同期报刊原刊全版影像／数据库试用检索结果,数据库提供的国家图书馆原刊图像；本地副本为试用查看器导出的单页 PDF，具体再利用权利按数据库和国家图书馆规则复核,https://udndata.com/promo/tknewsc/interduce.html,http://tk.dhcdb.com.tw/tknewsc/tknewskm?@@1,"[""上海版《大公报》1947年11月6日第2版完整报面"", ""《民盟今日解散》同期原刊报道"", ""中央社上海五日电""]",极高；直接补齐上海版目标报道的日期、版次、整版版面和原文影像,公开试用检索；检索条件：民盟 AND DA=19471106:19471106；结果记录52191；原版查看器可读取,数据库与国家图书馆图像再利用权利待核,公开试用检索返回8条1947-11-06‘民盟’记录，其中上海版第2版记录52191标题为‘民盟今日解散 張瀾等昨開會决定 通吿各地盟員停止政治活動’。已通过该记录的全版影像查看器取得单页 PDF，本地文件 data/domestic/press_scans/NLC_大公報_上海版_1947-11-06_第2版_完整影像_试用数据库.pdf，共1页，SHA256 为 c5db06a15df0da2042819461b700f3c8c4f629a79e60340486f291ceb166fbb8。人工可视核验整版报头日期为1947年11月6日，版次为第2版，版面中部可见目标标题及正文。该副本是试用查看器导出的低清单页，不等同于完整数据库下载授权，但已形成可复查的同期原刊影像证据。,2026-07-18,verified_entry
42,domestic:source:nlc_dagongbao_tianjin_1947_11_06_p2_full,天津版《大公报》1947年11月6日第2版完整报面影像,中国国家图书馆独家授权图像；中国近代报刊资料库／大公报数据库,同期报刊原刊全版影像／数据库试用检索结果,数据库提供的国家图书馆原刊图像；本地副本为试用查看器导出的单页 PDF，具体再利用权利按数据库和国家图书馆规则复核,https://udndata.com/promo/tknewsc/interduce.html,http://tk.dhcdb.com.tw/tknewsc/tknewskm?@@1,"[""天津版《大公报》1947年11月6日第2版完整报面"", ""《民盟宣布解散》同期原刊报道"", ""中央社上海五日电""]",高；直接补齐天津版目标报道的日期、版次、整版版面和原文影像，并与上海版同期报道互校,公开试用检索；检索条件：民盟 AND DA=19471106:19471106；结果记录39443；原版查看器可读取,数据库与国家图书馆图像再利用权利待核,公开试用检索返回天津版第2版记录39443，标题为‘民盟宣布解散 公告與政府洽商之經過 通知盟員停止政治活動 一律免除登記可享合法自由’。已通过该记录的全版影像查看器取得单页 PDF，本地文件 data/domestic/press_scans/NLC_大公報_天津版_1947-11-06_第2版_完整影像_试用数据库.pdf，共1页，SHA256 为 cb64bd1561540661c6de257313aaf3799c38b83f7f7fab9905f4e096a1ce247f。人工可视核验整版报头、日期为1947年11月6日、版次为第2版，版面中部可见‘民盟宣布解散’及相关副标题。该副本是试用查看器导出的低清单页，不等同于完整数据库下载授权，但已形成可复查的同期原刊影像证据。,2026-07-18,verified_entry
43,domestic:source:roc_gazette_1947-10-27_2964_commercial_lead,《国民政府公报》第2964号商业页面线索,孔夫子旧书网商品页；卖家实物照片,商业商品页及低清实物照片（原件追索线索）,商业目录线索，不是官方数字档案对象,https://book.kongfz.com/24139/221173956/,https://book.kongfz.com/24139/221173956/,"[""国民政府公报第2964号"", ""1947-10-27官方公报原件追索"", ""民盟非法化公报核查线索""]",高；目标日期与1947-10-27内政部宣布民盟非法时间点一致,公开商品页；低清图片可直接访问,unknown,商品页元数据明确标示1947-10-27、第2964号、总第2964号；三张公开实物照片可确认公报刊名、日期和期号，但分辨率不足以可靠读取目录或正文。图片直链为 https://www0.kfzimg.com/20131225/3220834/32208347iiTH0_b.jpg、https://www0.kfzimg.com/20131225/3220834/3220834fXKwK0_b.jpg、https://www0.kfzimg.com/20131225/3220834/3220834BaL950_b.jpg。MiniMax视觉提示的‘内政部/非法团体’未由Codex逐字复核，不作为已核实内容。,2026-07-18,lead_only
44,domestic:source:shac_q6-5-947_1947_association_control_lead,上海档案馆上档Q6-5-947社会团体管理案卷追索线索,上海档案馆；公开学术论文引注,档案馆案号的学术引注与档案目录追索入口,档案案号线索，当前未取得上海档案馆官方目录页或原件影像,https://www.archives.sh.cn/,https://www.jstage.jst.go.jp/article/asianstudies/49/3/49_38/_pdf,"[""市参议会公函"", ""上海市政府训令"", ""1947年社会团体管理与行政管制"", ""民盟非法化前后地方行政语境""]",高；可用于追查上海市社会局在1947年10月24—27日收到的市参议会公函、上海市政府训令及其与11月民盟解散执行的关系,公开学术论文 PDF 可核对脚注；档案原件需向上海档案馆申请目录确认、阅览或复制,unknown,公开论文PDF第13页注58列出上档Q6-5-947‘市参议会公函’（市议会议长潘公展致市社会局，1947-10-24、10-27）及‘上海市政府训令’（市政府致市社会局，1947-10-02）；该注释仅证明学术论文引用了档号和题名，不等于已取得档案馆目录或影像。论文脚注61另列上档6-5-1216民盟非法化转令，两个案号不可混并。,2026-07-18,lead_only
45,domestic:source:shlib_newspaper_catalog_1946_democratic_daily,上海图书馆《馆藏中文报纸目录1862—1949》中的《民主报》馆藏记录,上海图书馆；公开目录扫描副本,近代报纸馆藏目录与期号追索入口,馆藏目录线索，不是《民主报》原刊影像,https://www.library.sh.cn/,https://www.bnasie.eu/Asset/Source/bnBook_ID-86_No-1.pdf,"[""《民主报》重庆临时版"", ""《民主报》重庆版"", ""1946年2月—10月期号与馆藏范围"", ""民盟机关报原刊追索""]",高；上海图书馆馆藏目录可为1946年民盟机关报原刊申请、馆际互借或馆内复制提供具体期号依据,公开目录 PDF；原刊阅览/复制需按上海图书馆或馆藏机构权限申请,unknown,公开扫描目录相关页明确著录《民主报》日刊，重庆民主报社，1946-02-01创刊，社长罗隆基、发行人张澜；重庆临时版列出1946-02-11、14、16—28及1946-03-01—31（第59号），重庆版自1946-04-01第60号起另列连续期号。该目录提供馆藏/期号追索信息，不提供任何《民主报》原刊页面，不能直接作为同期报道候选。,2026-07-19,lead_only
46,domestic:source:rmrb_digital_transcription_1946_11_19,《人民日报》1946年11月19日第1版公开数字转录,公开数据查询平台；页面标注人民日报历史版面档案,同期报刊数字转录／版面索引入口,同期报刊文本的公开数字替身；不是《人民日报》原报面影像,https://cn.govopendata.com/renminribao/1946/11/19/1/,https://cn.govopendata.com/renminribao/1946/11/,"[""1946年11月19日《人民日报》第1版"", ""制宪国民大会开幕后的同期报道"", ""中共和其他民主党派拒绝出席的数字转录""]",中；用于1946年11月国大开幕后的同期舆论交叉核验，并为《民主报》同日或相邻期号原刊申请提供关键词,公开网页可直接阅读按版面组织的文字转录；原报面影像和正式数据库记录仍需追查,unknown,已直接访问1946-11-19第1版页面；页面正文记录南京国民大会于11月15日开幕，并写明中国共产党及其他民主党派拒绝出席。该页面提供同期文本和日期/版面入口，不提供原报面扫描，不能替代《人民日报》原版或官方报刊数据库影像。,2026-07-19,verified_entry
47,domestic:source:nlc_xinhua_daily_1941_early_issue_scans,《新华日报》1941年10月10日、10月16日、10月28日国家图书馆原刊扫描,中国国家图书馆数字化民国报纸；Wikimedia Commons公开镜像,同期报刊原刊全版扫描／国家图书馆数字化镜像,国家图书馆原刊数字化扫描的公开镜像；不是原始馆藏系统直链,https://read.nlc.cn/,https://commons.wikimedia.org/wiki/Commons:Library_back_up_project/file_list/NLC/民國報紙,"[""《新华日报》1941-10-10全版扫描"", ""《新华日报》1941-10-16全版扫描"", ""《新华日报》1941-10-28全版扫描"", ""1941年民盟成立同期中文报刊对照与负向核查""]",中；用于1941年民盟成立材料的同期中文报刊对照、日期核验和排除重复追索，不替代香港《光明报》原刊,公开 PDF；Commons 文件页提供原始下载入口,public_domain_claimed_unknown,已下载并核验三件公开 PDF：1941-10-10共6页、1941-10-16共2页、1941-10-28共2页，均未加密；文件分别为 NLC1080-00N000846-8631、NLC1080-00N000846-8658、NLC1080-00N000846-8712。Codex以120 dpi逐页可视核读，未在三期版面中发现可直接登记为中国民主政团同盟成立宣言、十大纲领或《民主运动的生力军》的明确报道标题；该结果是负向核查，不证明目标文件不存在，也不新增候选。三件本地文件和SHA256详见 docs/domestic/press_scan_manifest.md 与 work/domestic/nlc_xinhua_1941_early_scans_review_20260719.md。,2026-07-19,verified_entry
48,domestic:source:nlc_minxian_1944_representative_scans,《民憲》1944年第一卷第一、六、九期国家图书馆原刊扫描,中国国家图书馆数字化民国期刊；Wikimedia Commons公开镜像,同期政论刊物原刊整期扫描／国家图书馆数字化镜像,国家图书馆原刊数字化扫描的公开镜像；不是原始馆藏系统直链,https://read.nlc.cn/,https://commons.wikimedia.org/wiki/Category:民憲,"[""《民憲》第一卷第一期（1944-05-16）"", ""《民憲》第一卷第六期（1944-08-15）"", ""《民憲》第一卷第九期（1944-11-20）"", ""1944年民主宪政讨论与民盟改组前后传播材料""]",中；作为1944年民盟改组前后同期政治传播和刊物网络的原刊对照，补足正式汇编之外的传播载体,公开 PDF；Commons 分类页和文件页提供原始下载入口,public_domain_claimed_unknown,已下载三期公开 PDF：第一卷第一期47页、第一卷第六期51页、第一卷第九期51页，均未加密；三期封面/目录页分别明确标出1944-05-16、1944-08-15、1944-11-20，并可见同期政治、宪政和民主论题。已完成目录页核读，正文逐篇转录和具体文件出处仍待继续，故按整期原刊来源登记、候选保持人工复核。文件哈希和页级记录见 docs/domestic/press_scan_manifest.md 与 work/domestic/nlc_minxian_1944_representative_scans_review_20260719.md。,2026-07-19,verified_entry
49,domestic:source:roc_gazette_1947-10-27_2964_official_scan,《国民政府公报》第2964号官方原刊扫描（1947-10-27）,国民政府公报；立法院法律资料库总统府公报影像系统；Wikimedia Commons公开镜像,政府公报官方数字原刊扫描,官方公报影像公开镜像；不替代原始馆藏系统直链,https://npl.ly.gov.tw/do/www/homePage,https://commons.wikimedia.org/wiki/Special:FilePath/ROC1947-10-27%E5%9C%8B%E6%B0%91%E6%94%BF%E5%BA%9C%E5%85%AC%E5%A0%B12964.pdf,"[""国民政府公报第2964号"", ""1947-10-27政府命令、内政部代电及行政司法事项"", ""1947年10月民盟非法化原始公报负向核查""]",高；目标日期与1947-10-27民盟非法化时间点一致，可作为官方公报原刊排查证据,在线公开扫描 PDF；Commons文件页提供原始下载入口,public_domain_claimed_unknown,"已下载本地副本 data/domestic/gazette_scans/ROC1947-10-27國民政府公報2964.pdf，共17页、未加密、1,253,502 bytes，SHA256为3fa55d79a386f840d08c9268b39a301cf4322453e3134a5ab608acd3e3150e9c。已对17页逐页执行本地PaddleOCR，并目视核对目录、内政部代电和命中‘解散’页；未见‘民盟’、‘中国民主同盟’或民盟非法化/解散目标公文标题。该结果是负向核查，不证明目标文件不存在，也不新增候选。详细页级记录见 docs/domestic/press_scan_manifest.md 与 work/domestic/roc_gazette_2964_official_scan_review_20260719.md。",2026-07-19,verified_entry
50,domestic:source:nlc_dagongbao_hankow_1947-11-04_daily_scan,《大公报》汉口版（1947-11-04）国家图书馆原刊扫描,中国国家图书馆数字化民国报纸；Wikimedia Commons公开镜像,同期报纸原刊整日扫描／国家图书馆数字化镜像,国家图书馆原刊数字化扫描的公开镜像；不是原始馆藏系统直链,https://read.nlc.cn/,https://commons.wikimedia.org/wiki/Commons:Library_back_up_project/file_list/NLC/%E6%B0%91%E5%9C%8B%E5%A0%B1%E7%B4%99,"[""《大公报》汉口版1947-11-04单日原刊"", ""张群书面通知民盟、保障盟员安全"", ""民盟解散前夕中常会及政治活动报道""]",中；作为1947-11-06民盟总部解散前两日的同期报刊对照，补足全国传播和事件过程,公开 PDF；Commons文件清单提供原始下载入口,public_domain_claimed_unknown,"已下载本地副本 data/domestic/press_scans/NLC1080-00N001037-7604_大剛報_1947年11月04日.pdf，共4页、未加密、8,624,123 bytes，SHA256为5176d9591d915124572f7824e3131a1ed682a25cc637b03720fae7a87ee883cb。第1页可视确认刊名、汉口版、1947-11-04日期，并出现‘张群书面通知民盟 应允保障盟员安全’、‘民盟将召开中常会讨论解散’等目标报道标题；本地 OCR 结果见 work/domestic/dagongbao_nlc_7604_7606/ocr_low/issue7604-1.ocr.md。",2026-07-19,verified_entry
51,domestic:source:nlc_dagongbao_hankow_1947-11-06_daily_scan,《大公报》汉口版（1947-11-06）国家图书馆原刊扫描,中国国家图书馆数字化民国报纸；Wikimedia Commons公开镜像,同期报纸原刊整日扫描／国家图书馆数字化镜像,国家图书馆原刊数字化扫描的公开镜像；不是原始馆藏系统直链,https://read.nlc.cn/,https://commons.wikimedia.org/wiki/Commons:Library_back_up_project/file_list/NLC/%E6%B0%91%E5%9C%8B%E5%A0%B1%E7%B4%99,"[""《大公报》汉口版1947-11-06单日原刊"", ""民盟正式宣布解散"", ""通告各地盟员停止政治活动""]",中；作为1947-11-06民盟总部解散报道的全国版别对照，与上海、天津版原刊互证,公开 PDF；Commons文件清单提供原始下载入口,public_domain_claimed_unknown,"已下载本地副本 data/domestic/press_scans/NLC1080-00N001037-7606_大剛報_1947年11月06日.pdf，共4页、未加密、8,704,911 bytes，SHA256为9b4c22a6e905c40f0efef1ce24aa6f1f447b4eb64a1137513a5f6b6532f83284。第1页可视确认刊名、汉口版、1947-11-06日期，并出现‘民盟正式宣布解散’、‘通告各地盟员停止政治活动’等目标报道标题；该件与已有上海、天津版第2版影像形成版别互证。",2026-07-19,verified_entry
52,domestic:source:nlc_guangmingbao_1946_issue01,《光明報》新一號（1946-09-18）国家图书馆原刊扫描,中国国家图书馆数字化民国期刊；Wikimedia Commons公开镜像,同期政论报刊原刊整期扫描／国家图书馆数字化镜像,国家图书馆原刊数字化扫描的公开镜像；不是原始馆藏系统直链,https://read.nlc.cn/,https://commons.wikimedia.org/wiki/Commons:Library_back_up_project/file_list/NLC/%E6%B0%91%E5%9C%8B%E6%9C%9F%E5%88%8A/04,"[""《光明報》新一號整期原刊"", ""1946-09-18复刊词"", ""战后民主、和平与政治协商会议舆论""]",高；作为1946年旧政协后、李闻事件和拒绝国大争论前的民盟机关报原刊背景,公开 PDF；Commons文件清单提供原始下载入口,public_domain_claimed_unknown,"已下载本地副本 data/domestic/press_scans/NLC404-01J000514-10834_光明報_1946年1期.pdf，共24页、未加密、1,677,911 bytes，SHA256为29a5d3149bf83793ece67f8f7efe6280c29f68e584209add4f60aafafbefcbc5。封面可视确认‘新一號’及民國三十五年九月十八日出版；第1页首篇竖排标题为《复刊词》，正文明确回顾抗战胜利、民主政治和本年一月政治协商会议。本地 OCR 见 work/domestic/guangmingbao_1946_early/ocr/issue01-01.ocr.md。",2026-07-19,verified_entry
53,domestic:source:nlc_guangmingbao_1946_issue02,《光明報》新二號（1946-09-28）国家图书馆原刊扫描,中国国家图书馆数字化民国期刊；Wikimedia Commons公开镜像,同期政论报刊原刊整期扫描／国家图书馆数字化镜像,国家图书馆原刊数字化扫描的公开镜像；不是原始馆藏系统直链,https://read.nlc.cn/,https://commons.wikimedia.org/wiki/Commons:Library_back_up_project/file_list/NLC/%E6%B0%91%E5%9C%8B%E6%9C%9F%E5%88%8A/04,"[""《光明報》新二號整期原刊"", ""1946-09-28《我们相信人民的力量》"", ""反内战与战后民主舆论""]",高；作为1946年旧政协后民盟机关报连续出版物，补充拒绝内战和民主政治主张的同期语境,公开 PDF；Commons文件清单提供原始下载入口,public_domain_claimed_unknown,"已下载本地副本 data/domestic/press_scans/NLC404-01J000514-10835_光明報_1946年2期.pdf，共16页、未加密、1,078,186 bytes，SHA256为c6d05b14da2f4a46bbddd868df8a3ea559d1b7db06527ee42913d908eb3be792。封面可视确认‘新二號’及民國三十五年九月二十八日出版；第1页首篇竖排标题为《我们相信人民的力量》，正文讨论内战、人民意志和民主政治。本地 OCR 见 work/domestic/guangmingbao_1946_early/ocr/issue02-01.ocr.md。",2026-07-19,verified_entry
54,domestic:source:nlc_guangmingbao_1946_issue03,《光明報》新三號（1946-10-08）国家图书馆原刊扫描,中国国家图书馆数字化民国期刊；Wikimedia Commons公开镜像,同期政论报刊原刊整期扫描／国家图书馆数字化镜像,国家图书馆原刊数字化扫描的公开镜像；不是原始馆藏系统直链,https://read.nlc.cn/,https://commons.wikimedia.org/wiki/Commons:Library_back_up_project/file_list/NLC/%E6%B0%91%E5%9C%8B%E6%9C%9F%E5%88%8A/04,"[""《光明報》新三號整期原刊"", ""1946-10-08战后民主与反内战舆论""]",高；作为1946年旧政协后、国民大会争论期的民盟机关报连续出版物,公开 PDF；Commons文件清单提供原始下载入口,public_domain_claimed_unknown,"已下载本地副本 data/domestic/press_scans/NLC404-01J000514-10424_光明報_1946年3期.pdf，共16页、未加密、1,105,103 bytes，SHA256为826fba6a608093972cf54dabf8a9a117ff6e1416767610d6d49a35c0c58328de。封面可视确认新三號及民国三十五年十月八日出版；首面含反内战、民主与双十节语境，文章题名待逐页核定。",2026-07-19,verified_entry
55,domestic:source:nlc_guangmingbao_1946_issue04,《光明報》新四號（1946-10-18）国家图书馆原刊扫描,中国国家图书馆数字化民国期刊；Wikimedia Commons公开镜像,同期政论报刊原刊整期扫描／国家图书馆数字化镜像,国家图书馆原刊数字化扫描的公开镜像；不是原始馆藏系统直链,https://read.nlc.cn/,https://commons.wikimedia.org/wiki/Commons:Library_back_up_project/file_list/NLC/%E6%B0%91%E5%9C%8B%E6%9C%9F%E5%88%8A/04,"[""《光明報》新四號整期原刊"", ""《时机紧急中我们的态度》"", ""1946年内战与国民大会争论""]",高；直接补充1946年10月民盟机关报对内战和国民大会的同期表达,公开 PDF；Commons文件清单提供原始下载入口,public_domain_claimed_unknown,"已下载本地副本 data/domestic/press_scans/NLC404-01J000514-10425_光明報_1946年4期.pdf，共16页、未加密、1,072,890 bytes，SHA256为cfe3ac1821e7d400622079d75d6e9e455391804199b52d35f6757e37f426c163。封面可视确认新四號及民国三十五年十月十八日出版；第1页中央社论题名可辨为《时机紧急中我们的态度》，正文涉及内战、国民大会和民盟态度。",2026-07-19,verified_entry
56,domestic:source:nlc_guangmingbao_1946_issue05,《光明報》新五號（1946-10-28）国家图书馆原刊扫描,中国国家图书馆数字化民国期刊；Wikimedia Commons公开镜像,同期政论报刊原刊整期扫描／国家图书馆数字化镜像,国家图书馆原刊数字化扫描的公开镜像；不是原始馆藏系统直链,https://read.nlc.cn/,https://commons.wikimedia.org/wiki/Commons:Library_back_up_project/file_list/NLC/%E6%B0%91%E5%9C%8B%E6%9C%9F%E5%88%8A/04,"[""《光明報》新五號整期原刊"", ""民盟赴京谈判与和平民主舆论""]",高；作为1946年10月底民盟赴京和国民大会争议期的同期机关报,公开 PDF；Commons文件清单提供原始下载入口,public_domain_claimed_unknown,"已下载本地副本 data/domestic/press_scans/NLC404-01J000514-10426_光明報_1946年5期.pdf，共20页、未加密、1,429,954 bytes，SHA256为306b5dbe735a5950497c26e2f7ff510961f54e2dbdf4f443c8f0dfa83468194f。封面可视确认新五號及民国三十五年十月二十八日出版；第1页首面涉及民盟代表赴京、和平谈判和国民大会语境。",2026-07-19,verified_entry
57,domestic:source:nlc_guangmingbao_1946_issue06,《光明報》新六號（1946-11-08）国家图书馆原刊扫描,中国国家图书馆数字化民国期刊；Wikimedia Commons公开镜像,同期政论报刊原刊整期扫描／国家图书馆数字化镜像,国家图书馆原刊数字化扫描的公开镜像；不是原始馆藏系统直链,https://read.nlc.cn/,https://commons.wikimedia.org/wiki/Commons:Library_back_up_project/file_list/NLC/%E6%B0%91%E5%9C%8B%E6%9C%9F%E5%88%8A/04,"[""《光明報》新六號整期原刊"", ""拒绝参加国民大会与政协决议舆论""]",高；补充1946年11月国民大会开幕后民盟机关报的同期政治表达,公开 PDF；Commons文件清单提供原始下载入口,public_domain_claimed_unknown,"已下载本地副本 data/domestic/press_scans/NLC404-01J000514-10427_光明報_1946年6期.pdf，共16页、未加密、1,030,092 bytes，SHA256为aee7e822dde154aecf04f451e36a3c207d98a3dc58e9b0ba22a3132bfc9d0f16。封面可视确认新六號及民国三十五年十一月八日出版；第1页集中讨论在野党派拒绝参加国民大会、政协决议和和平民主。",2026-07-19,verified_entry
58,domestic:source:nlc_guangmingbao_1946_issue07,《光明報》新七號（1946-11-18）国家图书馆原刊扫描,中国国家图书馆数字化民国期刊；Wikimedia Commons公开镜像,同期政论报刊原刊整期扫描／国家图书馆数字化镜像,国家图书馆原刊数字化扫描的公开镜像；不是原始馆藏系统直链,https://read.nlc.cn/,https://commons.wikimedia.org/wiki/Commons:Library_back_up_project/file_list/NLC/%E6%B0%91%E5%9C%8B%E6%9C%9F%E5%88%8A/04,"[""《光明報》新七號整期原刊"", ""《我们为什么不参加国大》"", ""1946年拒绝参加国民大会舆论""]",高；直接补充1946年11月民盟机关报对拒绝参加国民大会的同期表达,公开 PDF；Commons文件清单提供原始下载入口,public_domain_claimed_unknown,"已下载本地副本 data/domestic/press_scans/NLC404-01J000514-10428_光明報_1946年7期.pdf，共16页、未加密、1,066,351 bytes，SHA256为367165396035893b6a8882a6c270cff4a4cf61dc1d9284525ebcd3240be68f8b。封面可视确认新七號及民国三十五年十一月十八日出版；第1页中央社论题名可辨为《我们为什么不参加国大》，正文讨论政协决议、内战和在野党派立场。",2026-07-19,verified_entry
59,domestic:source:nlc_modern_newspapers_xinminbao_beiping,国家图书馆出版社《中国历史文献总库·近代报纸数据库》：新民报（北平）,国家图书馆出版社；中国国家图书馆馆藏数字化报纸数据库,报纸数据库检索与影像调取入口,国家图书馆出版社官方数据库；馆藏影像入口而非本项目已下载原刊,https://www.nlcpress.com/DigitalPublishingView.aspx?DPId=10,https://bz.nlcpress.com/library/publish/default/PaperAll_en.jsp,"[""《新民报（北平）》1947年报面检索"", ""篇名/日期/版次定位"", ""报面影像或篇目预览（访问权限取决于IP或机构订购）""]",中；直接服务1947年北平版《新民报》11月4日教授联署声明原刊追索，并可与《观察》重刊及上海、天津、汉口版《大公报》互校,官方试用入口／机构IP或订购访问；当前未取得目标日期报面文件,database_access_and_reproduction_to_verify,2026-07-19核查国家图书馆出版社官方介绍与官方报纸清单：清单明确列出‘新民报（北平）’；官方说明支持按报纸、日期、版次、篇名检索并定位报面，但平台采用IP控制并提供在线访问或本地数据安装服务。该条目把1947-11-04《新民报》北平版作为下一步可执行的数据库调取路径，不把数据库清单当作已取得的原刊影像。目标检索式：报纸=新民报（北平），日期=1947-11-04，篇名=我们对于政府压迫民盟的看法；同时记录版次、页码、影像下载权限和复制许可。,2026-07-19,actionable_lead
60,domestic:source:sh_revolutionary_relics_minmeng_platform_1945,上海市第二批革命文物名录：1945年10月中国民主同盟发布的《中国民主同盟纲领》,上海市文化和旅游局；中国共产党第一次全国代表大会纪念馆,官方革命文物名录／馆藏实物追索入口,上海市文化和旅游局官方名录；具体实物由中国共产党第一次全国代表大会纪念馆保管,https://whlyj.sh.gov.cn/cmsres/87/87d4d293b6c24280a7650666d4a1aa0c/23771e474dbca731946c814f88200362.pdf,https://www.zgyd1921.com/about.html,"[""1945年10月中国民主同盟发布的《中国民主同盟纲领》"", ""上海市第二批革命文物名录条目1046"", ""馆藏实物1件""]",高；提供1945年民盟一大纲领实物的具体保管机构和官方目录编号,官方名录公开；实物影像、馆藏编号和复制条件需向中国共产党第一次全国代表大会纪念馆核查,institutional_access_to_verify,上海市文化和旅游局官方《上海市第二批革命文物名录》PDF第159页，名录条目1046，登记地点为黄浦区中国共产党第一次全国代表大会纪念馆，名称为‘1945年10月中国民主同盟发布的《中国民主同盟纲领》’，等级为三级、数量1。纪念馆官方站点列有‘藏品保管部’，职责包括藏品征集、保护、管理、利用和研究；官方活动页公布藏品保管部邮箱ydcpbgb@163.com，并公布咨询电话021-53830723、021-53832171。当前仍未取得实物照片、馆藏编号、原件页数或复制授权，应先通过馆方核对实物、题记、版本和影像条件。,2026-07-19,actionable_lead
